C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,ElectrodePolarity,HeatInput,InterpassTemp,WeldType,YieldStrength,UTS,Elongation,ReductionArea,CharpyTemp,CharpyImpact,Hardness,FATT50,PrimaryFerrite,Ferrite2ndPhase,AcicularFerrite,Martensite,FerriteCarbide,WeldID,MechanicalTestDone,PrimaryFerrite_missing,Ferrite2ndPhase_missing,AcicularFerrite_missing,Martensite_missing,FerriteCarbide_missing
0.037,0.3,0.65,0.008,0.012,0.0,1.308507922967311,0.5415481952792094,0.06332094566041468,0.20233671410449094,0.06940871506912671,0.1341816704889581,434.7301394435891,79.54867899578846,118.9548018108652,63.898460754275334,11.094056722210713,138.4097265728842,58.38744517968405,50.63336260943203,1.0779102890240608,170.0,21.0,DC,+,1.0,200.0,MMA,392.0,466.0,31.899999618530273,80.5999984741211,-68.36042701870736,98.72840133860733,171.9239936803474,-31.04768957949937,,,,,,Evans-Ni/CMn-1990/1991-0Aaw,1,1,1,1,1,1
0.037,0.3,0.65,0.008,0.012,0.0,1.308507922967311,0.5415481952792094,0.06332094566041468,0.20233671410449094,0.06940871506912671,0.1341816704889581,434.7301394435891,79.54867899578846,118.9548018108652,63.898460754275334,11.094056722210713,138.4097265728842,58.38744517968405,50.63336260943203,1.0779102890240608,170.0,21.0,DC,+,1.0,200.0,MMA,,569.1556079617411,26.239652311147722,78.49789910696461,-28.0,100.0,-473.54170499062093,-31.211219644253447,,,,,,Evans-Ni/CMn-1990/1991-0Aawch,1,1,1,1,1,1
0.037,0.3,0.65,0.008,0.012,0.0,1.308507922967311,0.5415481952792094,0.06332094566041468,0.20233671410449094,0.06940871506912671,0.1341816704889581,434.7301394435891,79.54867899578846,118.9548018108652,63.898460754275334,11.094056722210713,138.4097265728842,58.38744517968405,50.63336260943203,1.0779102890240608,170.0,21.0,DC,+,1.0,200.0,MMA,370.0,456.0,35.20000076293945,80.5999984741211,-38.0,100.0,-849.5138608706407,-31.22218431543851,,,,,,Evans-Ni/CMn-1990/1991-0Aht,1,1,1,1,1,1
0.037,0.31,1.03,0.007,0.014,0.0,1.0402079982959185,0.4616979638335854,0.09984510877913055,0.1902712596595455,0.070563084295628,0.13466364516699172,432.9765536647996,83.20097569383597,114.68491455157641,85.39279652086634,10.460841238833696,136.70753580215296,59.88028532544796,49.27742889908524,4.43542234494916,170.0,21.0,DC,+,1.0,200.0,MMA,413.0,498.0,31.200000762939453,80.5999984741211,-60.843062907339736,96.58744996446488,182.6600801681666,-31.07553725172327,,,,,,Evans-Ni/CMn-1990/1991-0Baw,1,1,1,1,1,1
0.037,0.31,1.03,0.007,0.014,0.0,1.0402079982959185,0.4616979638335854,0.09984510877913055,0.1902712596595455,0.070563084295628,0.13466364516699172,432.9765536647996,83.20097569383597,114.68491455157641,85.39279652086634,10.460841238833696,136.70753580215296,59.88028532544796,49.27742889908524,4.43542234494916,170.0,21.0,DC,+,1.0,200.0,MMA,,522.3131956772081,27.816542738017716,79.46951388524838,-48.0,100.0,-145.38619102475468,-31.123204181080602,32.0,28.0,40.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Bawch,1,0,0,0,0,0
0.037,0.31,1.03,0.007,0.014,0.0,1.0402079982959185,0.4616979638335854,0.09984510877913055,0.1902712596595455,0.070563084295628,0.13466364516699172,432.9765536647996,83.20097569383597,114.68491455157641,85.39279652086634,10.460841238833696,136.70753580215296,59.88028532544796,49.27742889908524,4.43542234494916,170.0,21.0,DC,+,1.0,200.0,MMA,402.0,490.0,31.0,80.5999984741211,-44.0,100.0,-464.80397607687837,-31.163902483574347,,,,,,Evans-Ni/CMn-1990/1991-0Bht,1,1,1,1,1,1
0.044,0.35,1.43,0.007,0.014,0.0,0.7891583577723216,0.37602214776678444,0.13634140161705033,0.16662163472922575,0.07178706374511803,0.13532604770470516,431.08077876971845,89.0406634160995,110.0667135367305,121.43719553964092,8.986968781746109,137.1141964965991,63.258115208832855,47.58503637092113,9.705059650960152,170.0,21.0,DC,+,1.0,200.0,MMA,468.0,551.0,29.399999618530273,78.69999694824219,-47.27232929080781,91.30890492897474,197.60407779301295,-31.121841330395867,,,,,,Evans-Ni/CMn-1990/1991-0Caw,1,1,1,1,1,1
0.044,0.35,1.43,0.007,0.014,0.0,0.7891583577723216,0.37602214776678444,0.13634140161705033,0.16662163472922575,0.07178706374511803,0.13532604770470516,431.08077876971845,89.0406634160995,110.0667135367305,121.43719553964092,8.986968781746109,137.1141964965991,63.258115208832855,47.58503637092113,9.705059650960152,170.0,21.0,DC,+,1.0,200.0,MMA,,510.602592606075,28.210765344734966,79.71241757981909,-53.0,100.0,-63.34731253329028,-31.101200315287407,,,,,,Evans-Ni/CMn-1990/1991-0Cawch,1,1,1,1,1,1
0.044,0.35,1.43,0.007,0.014,0.0,0.7891583577723216,0.37602214776678444,0.13634140161705033,0.16662163472922575,0.07178706374511803,0.13532604770470516,431.08077876971845,89.0406634160995,110.0667135367305,121.43719553964092,8.986968781746109,137.1141964965991,63.258115208832855,47.58503637092113,9.705059650960152,170.0,21.0,DC,+,1.0,200.0,MMA,436.0,529.0,31.600000381469727,78.80000305175781,-58.0,100.0,237.8718088188898,-31.098422604619095,,,,,,Evans-Ni/CMn-1990/1991-0Cht,1,1,1,1,1,1
0.045,0.33,1.85,0.007,0.016,0.0,0.501756608663718,0.2904876000948464,0.17880188056658386,0.16266207630423413,0.07292913725137329,0.13577437378153942,429.3231484238311,91.23727707601563,105.86376522894284,132.92586656074945,9.057072923600332,133.75355266912948,62.91639711952118,45.76792807834164,11.522479135791428,170.0,21.0,DC,+,1.0,200.0,MMA,514.0,588.0,28.0,76.80000305175781,-37.44600284698535,87.09588635038524,207.1479796967751,-31.154607492925315,,,,,,Evans-Ni/CMn-1990/1991-0Daw,1,1,1,1,1,1
