C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,ElectrodePolarity,HeatInput,InterpassTemp,WeldType,YieldStrength,UTS,Elongation,ReductionArea,CharpyTemp,CharpyImpact,Hardness,FATT50,PrimaryFerrite,Ferrite2ndPhase,AcicularFerrite,Martensite,FerriteCarbide,WeldID,MechanicalTestDone,PrimaryFerrite_missing,Ferrite2ndPhase_missing,AcicularFerrite_missing,Martensite_missing,FerriteCarbide_missing
0.037,0.3,0.65,0.008,0.012,0.0,1.3468131148198808,0.5065163782261948,0.06059867796912499,0.20260132581915968,0.06986189943651133,0.1341316381179367,437.48890697578963,80.57295878292678,111.37115828529409,60.835664491264424,10.54761234244603,128.21200410631363,48.631391358597284,41.00703224356003,12.999987559887643,170.0,21.0,DC,+,1.0,200.0,MMA,392.0,466.0,31.899999618530273,80.5999984741211,-68.38803184039135,98.7525026127391,171.9757020967711,-31.047911060912448,,,,,,Evans-Ni/CMn-1990/1991-0Aaw,1,1,1,1,1,1
0.037,0.3,0.65,0.008,0.012,0.0,1.3468131148198808,0.5065163782261948,0.06059867796912499,0.20260132581915968,0.06986189943651133,0.1341316381179367,437.48890697578963,80.57295878292678,111.37115828529409,60.835664491264424,10.54761234244603,128.21200410631363,48.631391358597284,41.00703224356003,12.999987559887643,170.0,21.0,DC,+,1.0,200.0,MMA,,569.2088777279951,26.243201601336693,78.49611794412601,-28.0,100.0,-481.0713318397609,-31.211383060350443,,,,,,Evans-Ni/CMn-1990/1991-0Aawch,1,1,1,1,1,1
0.037,0.3,0.65,0.008,0.012,0.0,1.3468131148198808,0.5065163782261948,0.06059867796912499,0.20260132581915968,0.06986189943651133,0.1341316381179367,437.48890697578963,80.57295878292678,111.37115828529409,60.835664491264424,10.54761234244603,128.21200410631363,48.631391358597284,41.00703224356003,12.999987559887643,170.0,21.0,DC,+,1.0,200.0,MMA,370.0,456.0,35.20000076293945,80.5999984741211,-38.0,100.0,-859.5731709357203,-31.222673996677734,,,,,,Evans-Ni/CMn-1990/1991-0Aht,1,1,1,1,1,1
0.037,0.31,1.03,0.007,0.014,0.0,1.1241834170260887,0.40400472470093973,0.09909485509155758,0.18546370103462095,0.06966228455484808,0.13474500513229382,435.19329084472247,83.6335773156955,110.69312645907667,80.20318698068752,9.966606834639038,131.04219379482836,48.37731496131801,38.33803424184646,14.084756187440405,170.0,21.0,DC,+,1.0,200.0,MMA,413.0,498.0,31.200000762939453,80.5999984741211,-60.87139259860898,96.60702458526173,182.72727248696242,-31.075752471796832,,,,,,Evans-Ni/CMn-1990/1991-0Baw,1,1,1,1,1,1
0.037,0.31,1.03,0.007,0.014,0.0,1.1241834170260887,0.40400472470093973,0.09909485509155758,0.18546370103462095,0.06966228455484808,0.13474500513229382,435.19329084472247,83.6335773156955,110.69312645907667,80.20318698068752,9.966606834639038,131.04219379482836,48.37731496131801,38.33803424184646,14.084756187440405,170.0,21.0,DC,+,1.0,200.0,MMA,,522.5262445423141,27.811619435780784,79.46684111633931,-48.0,100.0,-148.26500469243842,-31.123327408913816,32.0,28.0,40.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Bawch,1,0,0,0,0,0
0.037,0.31,1.03,0.007,0.014,0.0,1.1241834170260887,0.40400472470093973,0.09909485509155758,0.18546370103462095,0.06966228455484808,0.13474500513229382,435.19329084472247,83.6335773156955,110.69312645907667,80.20318698068752,9.966606834639038,131.04219379482836,48.37731496131801,38.33803424184646,14.084756187440405,170.0,21.0,DC,+,1.0,200.0,MMA,402.0,490.0,31.0,80.5999984741211,-44.0,100.0,-471.70800826285927,-31.164189131955197,,,,,,Evans-Ni/CMn-1990/1991-0Bht,1,1,1,1,1,1
0.044,0.35,1.43,0.007,0.014,0.0,0.9068383741564645,0.31379375633133577,0.13732745753847908,0.15020251108413163,0.06993330479502191,0.135935041807425,431.6354126451904,89.19399832924387,109.64122954657213,115.29680596959679,8.676981239736364,136.21100591546858,47.040806738808215,32.37656716644198,13.574718396954438,170.0,21.0,DC,+,1.0,200.0,MMA,468.0,551.0,29.399999618530273,78.69999694824219,-47.30695184597759,91.32378002721556,197.68343660340247,-31.12203207480075,,,,,,Evans-Ni/CMn-1990/1991-0Caw,1,1,1,1,1,1
0.044,0.35,1.43,0.007,0.014,0.0,0.9068383741564645,0.31379375633133577,0.13732745753847908,0.15020251108413163,0.06993330479502191,0.135935041807425,431.6354126451904,89.19399832924387,109.64122954657213,115.29680596959679,8.676981239736364,136.21100591546858,47.040806738808215,32.37656716644198,13.574718396954438,170.0,21.0,DC,+,1.0,200.0,MMA,,510.8555862458943,28.203723894391658,79.70952190939329,-53.0,100.0,-65.06342290560747,-31.101313496054686,,,,,,Evans-Ni/CMn-1990/1991-0Cawch,1,1,1,1,1,1
0.044,0.35,1.43,0.007,0.014,0.0,0.9068383741564645,0.31379375633133577,0.13732745753847908,0.15020251108413163,0.06993330479502191,0.135935041807425,431.6354126451904,89.19399832924387,109.64122954657213,115.29680596959679,8.676981239736364,136.21100591546858,47.040806738808215,32.37656716644198,13.574718396954438,170.0,21.0,DC,+,1.0,200.0,MMA,436.0,529.0,31.600000381469727,78.80000305175781,-58.0,100.0,237.89852823851584,-31.098820845942633,,,,,,Evans-Ni/CMn-1990/1991-0Cht,1,1,1,1,1,1
0.045,0.33,1.85,0.007,0.016,0.0,0.5852830500448931,0.19961034494974683,0.1822427031911218,0.1476364222233144,0.06945638015190142,0.13615411311916814,430.0999521493593,90.58753822698505,109.21260739623,124.10119721180405,8.81705681363205,137.4814806081068,47.038195527412654,32.170747099957694,15.798203038513691,170.0,21.0,DC,+,1.0,200.0,MMA,514.0,588.0,28.0,76.80000305175781,-37.48634896020282,87.10830899218682,207.23183689149778,-31.15478078167861,,,,,,Evans-Ni/CMn-1990/1991-0Daw,1,1,1,1,1,1
0.045,0.33,1.85,0.007,0.016,0.0,0.5852830500448931,0.19961034494974683,0.1822427031911218,0.1476364222233144,0.06945638015190142,0.13615411311916814,430.0999521493593,90.58753822698505,109.21260739623,124.10119721180405,8.81705681363205,137.4814806081068,47.038195527412654,32.170747099957694,15.798203038513691,170.0,21.0,DC,+,1.0,200.0,MMA,,545.8675611351546,27.027410518558867,78.9814795302326,-38.0,100.0,-314.668168266099,-31.167355234632126,13.0,17.0,60.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Dawch,1,0,0,0,0,0
