C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,ElectrodePolarity,HeatInput,InterpassTemp,WeldType,YieldStrength,UTS,Elongation,ReductionArea,CharpyTemp,CharpyImpact,Hardness,FATT50,PrimaryFerrite,Ferrite2ndPhase,AcicularFerrite,Martensite,FerriteCarbide,WeldID
0.049,0.33,1.85,0.006,0.014,0.51,0.7858581020484579,0.22973671296389142,0.08344673803480163,0.16079952407334552,0.2485636185776201,0.6618916024100159,442.06451774609457,85.3218192612938,103.06970907318032,107.18097178509925,8.603355901714622,91.66864223335699,48.39283507580359,34.415411142222354,28.917641191779694,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,,,,,8.0,24.0,68.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0.5Dawmic
0.049,0.33,1.85,0.006,0.014,0.51,0.7858581020484579,0.22973671296389142,0.08344673803480163,0.16079952407334552,0.2485636185776201,0.6618916024100159,442.06451774609457,85.3218192612938,103.06970907318032,107.18097178509925,8.603355901714622,91.66864223335699,48.39283507580359,34.415411142222354,28.917641191779694,170.0,21.0,DC,+,1.0,200.0,MMA,526.0,612.0,26.8,72.9,,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Dht
0.038,0.31,0.63,0.007,0.012,1.09,2.157353513638654,0.5689524095229785,0.08343263415830648,0.20033213611094602,0.2742000895488417,0.8359423606644754,442.7029237535823,76.27154829011675,103.19785218265952,55.00356851937249,9.252399473099828,136.40066727230942,53.51473173089926,22.26651608579317,30.94241743991597,170.0,21.0,DC,+,1.0,200.0,MMA,423.0,497.0,30.6,78.8,,,,,,,,,,Evans-Ni/CMn-1990/1991-1Aaw
0.038,0.31,0.63,0.007,0.012,1.09,2.157353513638654,0.5689524095229785,0.08343263415830648,0.20033213611094602,0.2742000895488417,0.8359423606644754,442.7029237535823,76.27154829011675,103.19785218265952,55.00356851937249,9.252399473099828,136.40066727230942,53.51473173089926,22.26651608579317,30.94241743991597,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-38.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-1Aawch
0.038,0.31,0.63,0.007,0.012,1.09,2.157353513638654,0.5689524095229785,0.08343263415830648,0.20033213611094602,0.2742000895488417,0.8359423606644754,442.7029237535823,76.27154829011675,103.19785218265952,55.00356851937249,9.252399473099828,136.40066727230942,53.51473173089926,22.26651608579317,30.94241743991597,170.0,21.0,DC,+,1.0,200.0,MMA,411.0,493.0,33.6,79.7,-40.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-1Aht
0.043,0.33,1.0,0.006,0.013,1.1,1.7441459203467247,0.4551227526420476,0.0827447252908442,0.18449804019100569,0.2602259845473327,0.7534118140892119,442.37135863858396,79.85440569753507,101.1324821159742,75.88710997183807,8.709642984785887,121.55185791065736,51.06170159746193,23.267352652627494,30.886196597662547,170.0,21.0,DC,+,1.0,200.0,MMA,475.0,541.0,29.6,77.9,,,,,,,,,,Evans-Ni/CMn-1990/1991-1Baw
0.043,0.33,1.0,0.006,0.013,1.1,1.7441459203467247,0.4551227526420476,0.0827447252908442,0.18449804019100569,0.2602259845473327,0.7534118140892119,442.37135863858396,79.85440569753507,101.1324821159742,75.88710997183807,8.709642984785887,121.55185791065736,51.06170159746193,23.267352652627494,30.886196597662547,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-55.0,100.0,,,20.0,42.0,38.0,0.0,0.0,Evans-Ni/CMn-1990/1991-1Bawch
0.043,0.33,1.0,0.006,0.013,1.1,1.7441459203467247,0.4551227526420476,0.0827447252908442,0.18449804019100569,0.2602259845473327,0.7534118140892119,442.37135863858396,79.85440569753507,101.1324821159742,75.88710997183807,8.709642984785887,121.55185791065736,51.06170159746193,23.267352652627494,30.886196597662547,170.0,21.0,DC,+,1.0,200.0,MMA,443.0,521.0,31.8,77.8,-51.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-1Bht
0.049,0.35,1.37,0.007,0.013,1.06,1.329542997642763,0.3432805104933223,0.08215170390606374,0.16808539982070947,0.24050810706669168,0.6875825145670476,442.07800267941514,83.52920156814605,99.30549951002604,97.51248422649223,8.20423987464585,106.9215957994038,48.51181305094667,24.740596873571235,30.53802218617193,170.0,21.0,DC,+,1.0,200.0,MMA,498.0,569.0,28.4,78.8,,,,,,,,,,Evans-Ni/CMn-1990/1991-1Caw
0.049,0.35,1.37,0.007,0.013,1.06,1.329542997642763,0.3432805104933223,0.08215170390606374,0.16808539982070947,0.24050810706669168,0.6875825145670476,442.07800267941514,83.52920156814605,99.30549951002604,97.51248422649223,8.20423987464585,106.9215957994038,48.51181305094667,24.740596873571235,30.53802218617193,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-58.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-1Cawch
0.049,0.35,1.37,0.007,0.013,1.06,1.329542997642763,0.3432805104933223,0.08215170390606374,0.16808539982070947,0.24050810706669168,0.6875825145670476,442.07800267941514,83.52920156814605,99.30549951002604,97.51248422649223,8.20423987464585,106.9215957994038,48.51181305094667,24.740596873571235,30.53802218617193,170.0,21.0,DC,+,1.0,200.0,MMA,470.0,557.0,30.2,76.0,-20.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-1Cht
0.053,0.35,1.83,0.007,0.012,1.06,0.7932786850482181,0.20761419697876704,0.08119788895726288,0.15926724781490087,0.23266366638702607,0.6199550253767967,441.6749925983001,86.28912037454899,96.42461195180204,111.32256119966041,7.891573391909212,87.34638291202657,47.31220757758223,27.560787112230344,30.147249018123148,170.0,21.0,DC,+,1.0,200.0,MMA,566.0,641.0,26.4,76.0,,,,,,,,,,Evans-Ni/CMn-1990/1991-1Daw
0.053,0.35,1.83,0.007,0.012,1.06,0.7932786850482181,0.20761419697876704,0.08119788895726288,0.15926724781490087,0.23266366638702607,0.6199550253767967,441.6749925983001,86.28912037454899,96.42461195180204,111.32256119966041,7.891573391909212,87.34638291202657,47.31220757758223,27.560787112230344,30.147249018123148,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-39.0,100.0,,,6.0,19.0,75.0,0.0,0.0,Evans-Ni/CMn-1990/1991-1Dawch
0.053,0.35,1.83,0.007,0.012,1.06,0.7932786850482181,0.20761419697876704,0.08119788895726288,0.15926724781490087,0.23266366638702607,0.6199550253767967,441.6749925983001,86.28912037454899,96.42461195180204,111.32256119966041,7.891573391909212,87.34638291202657,47.31220757758223,27.560787112230344,30.147249018123148,170.0,21.0,DC,+,1.0,200.0,MMA,521.0,612.0,26.0,74.0,1.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-1Dht
0.041,0.3,0.62,0.007,0.01,2.38,2.121850686786484,0.5198371323541267,0.07903346202919437,0.2196900513436031,0.27360110165714246,0.7705184209775737,441.75257366214015,74.4037051373025,90.20504169015203,36.08986849908251,8.399607342065622,125.10100901289263,55.57901944320338,9.893880680320308,33.87669147249244,170.0,21.0,DC,+,1.0,200.0,MMA,466.0,538.0,30.6,77.8,,,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Aaw
0.041,0.3,0.62,0.007,0.01,2.38,2.121850686786484,0.5198371323541267,0.07903346202919437,0.2196900513436031,0.27360110165714246,0.7705184209775737,441.75257366214015,74.4037051373025,90.20504169015203,36.08986849908251,8.399607342065622,125.10100901289263,55.57901944320338,9.893880680320308,33.87669147249244,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-50.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Aawch
0.041,0.3,0.62,0.007,0.01,2.38,2.121850686786484,0.5198371323541267,0.07903346202919437,0.2196900513436031,0.27360110165714246,0.7705184209775737,441.75257366214015,74.4037051373025,90.20504169015203,36.08986849908251,8.399607342065622,125.10100901289263,55.57901944320338,9.893880680320308,33.87669147249244,170.0,21.0,DC,+,1.0,200.0,MMA,431.0,518.0,32.2,76.9,-41.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Aht
0.044,0.31,0.96,0.006,0.013,2.38,1.7512335960318879,0.4179884752409535,0.07891459012306967,0.20826378119286026,0.26565456748149785,0.7021412793127624,441.45375693009316,76.92007321177891,89.8100149664399,50.38876263459679,8.038875364198951,112.394277263287,54.144980390581736,11.423369248065853,33.89108042896851,170.0,21.0,DC,+,1.0,200.0,MMA,489.0,567.0,30.6,76.9,,,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Baw
0.044,0.31,0.96,0.006,0.013,2.38,1.7512335960318879,0.4179884752409535,0.07891459012306967,0.20826378119286026,0.26565456748149785,0.7021412793127624,441.45375693009316,76.92007321177891,89.8100149664399,50.38876263459679,8.038875364198951,112.394277263287,54.144980390581736,11.423369248065853,33.89108042896851,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-59.0,100.0,,,16.0,38.0,46.0,0.0,0.0,Evans-Ni/CMn-1990/1991-2.25Bawch
0.044,0.31,0.96,0.006,0.013,2.38,1.7512335960318879,0.4179884752409535,0.07891459012306967,0.20826378119286026,0.26565456748149785,0.7021412793127624,441.45375693009316,76.92007321177891,89.8100149664399,50.38876263459679,8.038875364198951,112.394277263287,54.144980390581736,11.423369248065853,33.89108042896851,170.0,21.0,DC,+,1.0,200.0,MMA,481.0,561.0,29.1,76.9,-44.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Bht
0.049,0.32,1.41,0.007,0.014,2.32,1.246424783248397,0.28594080294368496,0.0785414297452931,0.19420182821166598,0.2500931675959208,0.6353231344949606,441.10442562533734,80.25364021722407,88.61217497185453,69.05686731345486,7.644696806904612,94.94108992285743,52.26298061056514,14.191673893421068,33.45396558280436,170.0,21.0,DC,+,1.0,200.0,MMA,567.0,635.0,23.6,72.7,,,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Caw
0.049,0.32,1.41,0.007,0.014,2.32,1.246424783248397,0.28594080294368496,0.0785414297452931,0.19420182821166598,0.2500931675959208,0.6353231344949606,441.10442562533734,80.25364021722407,88.61217497185453,69.05686731345486,7.644696806904612,94.94108992285743,52.26298061056514,14.191673893421068,33.45396558280436,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-38.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Cawch
0.049,0.32,1.41,0.007,0.014,2.32,1.246424783248397,0.28594080294368496,0.0785414297452931,0.19420182821166598,0.2500931675959208,0.6353231344949606,441.10442562533734,80.25364021722407,88.61217497185453,69.05686731345486,7.644696806904612,94.94108992285743,52.26298061056514,14.191673893421068,33.45396558280436,170.0,21.0,DC,+,1.0,200.0,MMA,530.0,615.0,26.6,73.0,-20.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Cht
0.046,0.32,1.81,0.007,0.015,2.33,0.7836073288570589,0.16777284687258032,0.07793647727891795,0.187777428524587,0.2438711842033392,0.5801217395962865,440.74656824218425,82.31986243489263,86.79215464549634,78.97990451310761,7.3546227707732115,78.26378895569366,51.55985420757281,16.457912699861566,33.22463411898207,170.0,21.0,DC,+,1.0,200.0,MMA,621.0,684.0,23.5,73.9,,,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Daw
0.046,0.32,1.81,0.007,0.015,2.33,0.7836073288570589,0.16777284687258032,0.07793647727891795,0.187777428524587,0.2438711842033392,0.5801217395962865,440.74656824218425,82.31986243489263,86.79215464549634,78.97990451310761,7.3546227707732115,78.26378895569366,51.55985420757281,16.457912699861566,33.22463411898207,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-30.0,100.0,,,5.0,14.0,81.0,0.0,0.0,Evans-Ni/CMn-1990/1991-2.25Dawch
0.046,0.32,1.81,0.007,0.015,2.33,0.7836073288570589,0.16777284687258032,0.07793647727891795,0.187777428524587,0.2438711842033392,0.5801217395962865,440.74656824218425,82.31986243489263,86.79215464549634,78.97990451310761,7.3546227707732115,78.26378895569366,51.55985420757281,16.457912699861566,33.22463411898207,170.0,21.0,DC,+,1.0,200.0,MMA,574.0,665.0,26.4,70.7,,,,,,,,,,Evans-Ni/CMn-1990/1991-2.25Dht
0.037,0.3,0.65,0.009,0.011,3.5,2.0601102897834913,0.4642457441070249,0.07559189856114301,0.2333208580997823,0.2627743966528797,0.7182090634401703,440.8946881681386,73.16568739164313,80.01775987149767,22.428455909830518,7.497010164751913,114.74334880120682,57.07062605900683,-1.2639801956140104,36.43971080950405,170.0,21.0,DC,+,1.0,200.0,MMA,479.0,561.0,30.4,76.6,,,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Aaw
0.037,0.3,0.65,0.009,0.011,3.5,2.0601102897834913,0.4642457441070249,0.07559189856114301,0.2333208580997823,0.2627743966528797,0.7182090634401703,440.8946881681386,73.16568739164313,80.01775987149767,22.428455909830518,7.497010164751913,114.74334880120682,57.07062605900683,-1.2639801956140104,36.43971080950405,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-26.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Aawch
0.037,0.3,0.65,0.009,0.011,3.5,2.0601102897834913,0.4642457441070249,0.07559189856114301,0.2333208580997823,0.2627743966528797,0.7182090634401703,440.8946881681386,73.16568739164313,80.01775987149767,22.428455909830518,7.497010164751913,114.74334880120682,57.07062605900683,-1.2639801956140104,36.43971080950405,170.0,21.0,DC,+,1.0,200.0,MMA,482.0,560.0,31.4,48.8,-63.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Aht
0.041,0.31,0.98,0.008,0.012,3.46,1.6906383432654266,0.36661547581825715,0.07523389852209306,0.22182704955829458,0.25498634162492095,0.6540072254065805,440.6348530227451,75.83810718540201,78.92654763382325,37.66827396652661,7.167131725911403,101.89408300965533,55.44596187736687,0.5997866502897296,36.257688020003116,170.0,21.0,DC,+,1.0,200.0,MMA,525.0,605.0,27.6,76.0,,,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Baw
0.041,0.31,0.98,0.008,0.012,3.46,1.6906383432654266,0.36661547581825715,0.07523389852209306,0.22182704955829458,0.25498634162492095,0.6540072254065805,440.6348530227451,75.83810718540201,78.92654763382325,37.66827396652661,7.167131725911403,101.89408300965533,55.44596187736687,0.5997866502897296,36.257688020003116,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-48.0,100.0,,,14.0,35.0,51.0,0.0,0.0,Evans-Ni/CMn-1990/1991-3.5Bawch
0.041,0.31,0.98,0.008,0.012,3.46,1.6906383432654266,0.36661547581825715,0.07523389852209306,0.22182704955829458,0.25498634162492095,0.6540072254065805,440.6348530227451,75.83810718540201,78.92654763382325,37.66827396652661,7.167131725911403,101.89408300965533,55.44596187736687,0.5997866502897296,36.257688020003116,170.0,21.0,DC,+,1.0,200.0,MMA,521.0,599.0,28.4,74.0,-38.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Bht
0.048,0.33,1.4,0.007,0.013,3.47,1.2218295736675735,0.23810724746654444,0.07449392314794778,0.20462903894453532,0.24003019366270806,0.5627560943975354,440.2593165800307,79.75956233016831,76.6909500317679,60.38217892078683,6.5958279333309235,85.08776286340668,52.82093741104944,1.9346007186122733,36.16931828514316,170.0,21.0,DC,+,1.0,200.0,MMA,621.0,682.0,25.4,72.9,,,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Caw
0.048,0.33,1.4,0.007,0.013,3.47,1.2218295736675735,0.23810724746654444,0.07449392314794778,0.20462903894453532,0.24003019366270806,0.5627560943975354,440.2593165800307,79.75956233016831,76.6909500317679,60.38217892078683,6.5958279333309235,85.08776286340668,52.82093741104944,1.9346007186122733,36.16931828514316,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,-18.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Cawch
0.048,0.33,1.4,0.007,0.013,3.47,1.2218295736675735,0.23810724746654444,0.07449392314794778,0.20462903894453532,0.24003019366270806,0.5627560943975354,440.2593165800307,79.75956233016831,76.6909500317679,60.38217892078683,6.5958279333309235,85.08776286340668,52.82093741104944,1.9346007186122733,36.16931828514316,170.0,21.0,DC,+,1.0,200.0,MMA,584.0,677.0,26.6,70.8,56.0,100.0,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Cht
0.051,0.36,1.79,0.007,0.013,3.42,0.7821052356461635,0.11832074429327832,0.07366758004493335,0.1844676827390117,0.21797156104031856,0.4812132789487862,439.9562717923853,84.20664773247216,74.22063990236802,87.04721883893944,5.925674999872442,69.4056341784692,49.511595965206936,2.977757016345265,35.86859728568015,170.0,21.0,DC,+,1.0,200.0,MMA,692.0,753.0,22.2,69.7,,,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Daw
0.051,0.36,1.79,0.007,0.013,3.42,0.7821052356461635,0.11832074429327832,0.07366758004493335,0.1844676827390117,0.21797156104031856,0.4812132789487862,439.9562717923853,84.20664773247216,74.22063990236802,87.04721883893944,5.925674999872442,69.4056341784692,49.511595965206936,2.977757016345265,35.86859728568015,170.0,21.0,DC,+,1.0,200.0,MMA,,,,,24.0,100.0,,,0.0,33.0,37.0,30.0,0.0,Evans-Ni/CMn-1990/1991-3.5Dawch
0.051,0.36,1.79,0.007,0.013,3.42,0.7821052356461635,0.11832074429327832,0.07366758004493335,0.1844676827390117,0.21797156104031856,0.4812132789487862,439.9562717923853,84.20664773247216,74.22063990236802,87.04721883893944,5.925674999872442,69.4056341784692,49.511595965206936,2.977757016345265,35.86859728568015,170.0,21.0,DC,+,1.0,200.0,MMA,662.0,745.0,24.0,67.5,,,,,,,,,,Evans-Ni/CMn-1990/1991-3.5Dht
