C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,ElectrodePolarity,HeatInput,InterpassTemp,WeldType,PWHT_Temp,PWHT_Time,YieldStrength,UTS,Elongation,ReductionArea,CharpyTemp,CharpyImpact,Hardness,FATT50,PrimaryFerrite,Ferrite2ndPhase,AcicularFerrite,Martensite,FerriteCarbide,WeldID,MechanicalTestDone
0.037,0.3,0.65,0.008,0.012,0.0,2.1898985131415856,0.61871711421513,0.07449973896268602,0.2036164731612189,0.13239366395111318,0.08542206551473797,443.12559201518434,80.38473882907238,116.85283662799338,64.0580666261194,10.452023552977494,146.5038285113469,50.22670598110969,38.279412694812436,21.883806353280306,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,392.0,466.0,31.9,80.6,-62.34059968783757,100.43707322540469,167.79398862344033,-31.606894789104246,,,,,,Evans-Ni/CMn-1990/1991-0Aaw,1
0.037,0.3,0.65,0.008,0.012,0.0,2.1898985131415856,0.61871711421513,0.07449973896268602,0.2036164731612189,0.13239366395111318,0.08542206551473797,443.12559201518434,80.38473882907238,116.85283662799338,64.0580666261194,10.452023552977494,146.5038285113469,50.22670598110969,38.279412694812436,21.883806353280306,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,539.4808781318523,595.3617243530091,24.368108234887018,73.79098700721869,-28.0,100.0,709.2714736046228,-30.93030789091999,,,,,,Evans-Ni/CMn-1990/1991-0Aawch,1
0.037,0.3,0.65,0.008,0.012,0.0,2.1898985131415856,0.61871711421513,0.07449973896268602,0.2036164731612189,0.13239366395111318,0.08542206551473797,443.12559201518434,80.38473882907238,116.85283662799338,64.0580666261194,10.452023552977494,146.5038285113469,50.22670598110969,38.279412694812436,21.883806353280306,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,370.0,456.0,35.2,80.6,-38.0,100.0,859.5095788738126,-30.955908128467748,,,,,,Evans-Ni/CMn-1990/1991-0Aht,1
0.037,0.31,1.03,0.007,0.014,0.0,1.7586517848819057,0.5049249885262839,0.07519068743158641,0.19228971299435216,0.16059599462997198,0.16345822705258328,442.8230384954351,81.43193558474974,115.0455117815327,78.1107446542228,9.952040490929278,131.02718873087133,50.29240081588321,37.48956192899584,23.02426790230811,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,413.0,498.0,31.2,80.6,-56.40640385624087,96.58626757106632,181.98399847935434,-31.49051173516203,,,,,,Evans-Ni/CMn-1990/1991-0Baw,1
0.037,0.31,1.03,0.007,0.014,0.0,1.7586517848819057,0.5049249885262839,0.07519068743158641,0.19228971299435216,0.16059599462997198,0.16345822705258328,442.8230384954351,81.43193558474974,115.0455117815327,78.1107446542228,9.952040490929278,131.02718873087133,50.29240081588321,37.48956192899584,23.02426790230811,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,577.1703985366917,599.0820612120049,25.135567021778286,78.55338639342004,-48.0,100.0,354.1429789009726,-31.418184122663035,32,28.0,40.0,0.0,0.0,Evans-Ni/CMn-1990/1991-0Bawch,1
0.037,0.31,1.03,0.007,0.014,0.0,1.7586517848819057,0.5049249885262839,0.07519068743158641,0.19228971299435216,0.16059599462997198,0.16345822705258328,442.8230384954351,81.43193558474974,115.0455117815327,78.1107446542228,9.952040490929278,131.02718873087133,50.29240081588321,37.48956192899584,23.02426790230811,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,402.0,490.0,31.0,80.6,-44.0,100.0,585.522384800784,-31.20191132650671,,,,,,Evans-Ni/CMn-1990/1991-0Bht,1
0.044,0.35,1.43,0.007,0.014,0.0,1.3065579287600855,0.37658594402836343,0.07736993570165396,0.16997570823423302,0.1715202930169113,0.21730523792048118,442.5049349159783,82.82951521155684,111.46256669671493,108.90441219663626,8.900095409500523,114.19022557130438,49.13946390720949,36.248684254989485,24.360776113467182,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,468.0,551.0,29.4,78.7,-47.92233262532582,92.20729691562204,199.7322769209777,-31.320585814710654,,,,,,Evans-Ni/CMn-1990/1991-0Caw,1
0.044,0.35,1.43,0.007,0.014,0.0,1.3065579287600855,0.37658594402836343,0.07736993570165396,0.16997570823423302,0.1715202930169113,0.21730523792048118,442.5049349159783,82.82951521155684,111.46256669671493,108.90441219663626,8.900095409500523,114.19022557130438,49.13946390720949,36.248684254989485,24.360776113467182,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,586.5927786379012,600.0121454267537,25.327431718501117,79.74398623997034,-53.0,100.0,265.3608552250603,-31.54015318059883,,,,,,Evans-Ni/CMn-1990/1991-0Cawch,1
0.044,0.35,1.43,0.007,0.014,0.0,1.3065579287600855,0.37658594402836343,0.07736993570165396,0.16997570823423302,0.1715202930169113,0.21730523792048118,442.5049349159783,82.82951521155684,111.46256669671493,108.90441219663626,8.900095409500523,114.19022557130438,49.13946390720949,36.248684254989485,24.360776113467182,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,436.0,529.0,31.6,78.8,-58.0,100.0,105.48896356426576,-31.551558944984663,,,,,,Evans-Ni/CMn-1990/1991-0Cht,1
0.045,0.33,1.85,0.007,0.016,0.0,0.8247358172164923,0.2586504005719661,0.07846371193323876,0.1670709784139035,0.22301156344295947,0.3302092487724977,442.1761507964038,83.77804961574174,110.61827156839718,109.69662067579702,8.9061456335333,97.20118340116596,50.30486120918047,35.86784080849304,25.134571994456792,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,514.0,588.0,28.0,76.8,-42.66082564049975,89.89217601662442,210.10297731661194,-31.213669759641803,,,,,,Evans-Ni/CMn-1990/1991-0Daw,1
